Connected to: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN62097261,02.12.2021071625
Number of samples: 19
[MJD: 60677.85276] Averaged frequency: 1.773632 MHz, period: 5.63814949998516342875E-07
Elapsed time: 950.90 ms

measurements counter=5.63848413805383248882E-07,gate=947.94 60677.85695
measurements counter=5.63814949998516342875E-07,gate=948.03 60677.85696
measurements counter=5.63714582406171205651E-07,gate=964.28 60677.85697
measurements counter=5.63748034299617223194E-07,gate=948.34 60677.85698
measurements counter=5.63748034299617223194E-07,gate=947.42 60677.85699
measurements counter=5.63714582406171205651E-07,gate=964.22 60677.85700
measurements counter=5.63748034299617223194E-07,gate=948.35 60677.85701
measurements counter=5.63714582406171205651E-07,gate=948.06 60677.85702
measurements counter=5.63681134482451715688E-07,gate=957.64 60677.85703
measurements counter=5.63781490163496617311E-07,gate=955.05 60677.85705
measurements counter=5.63781490163496617311E-07,gate=948.29 60677.85706
measurements counter=5.63714582406171205651E-07,gate=947.21 60677.85707
measurements counter=5.63647690527752221947E-07,gate=964.26 60677.85708
measurements counter=5.63915353337488433419E-07,gate=948.45 60677.85709
measurements counter=5.63647690527752221947E-07,gate=947.71 60677.85710
measurements counter=5.63781490163496617311E-07,gate=957.78 60677.85711
measurements counter=5.63748034299617223194E-07,gate=954.95 60677.85712
measurements counter=5.63881881584804925479E-07,gate=948.04 60677.85713
measurements counter=5.63848413805383248882E-07,gate=957.99 60677.85714
measurements counter=5.63781490163496617311E-07,gate=954.11 60677.85716
measurements counter=5.63714582406171205651E-07,gate=948.61 60677.85717
measurements counter=5.63814949998516342875E-07,gate=947.53 60677.85718
measurements counter=5.63714582406171205651E-07,gate=964.40 60677.85719
measurements counter=5.63781490163496617311E-07,gate=947.74 60677.85720
measurements counter=5.63647690527752221947E-07,gate=948.09 60677.85721
measurements counter=5.63748034299617223194E-07,gate=957.90 60677.85722
measurements counter=5.63848413805383248882E-07,gate=954.65 60677.85723
measurements counter=5.63814949998516342875E-07,gate=947.90 60677.85724
measurements counter=5.63748034299617223194E-07,gate=957.91 60677.85725
measurements counter=5.63681134482451715688E-07,gate=954.75 60677.85727
measurements counter=5.63781490163496617311E-07,gate=947.90 60677.85728
measurements counter=5.63748034299617223194E-07,gate=947.64 60677.85729
measurements counter=5.63781490163496617311E-07,gate=964.71 60677.85730
measurements counter=5.63647690527752221947E-07,gate=947.77 60677.85731
measurements counter=5.63848413805383248882E-07,gate=948.21 60677.85732
measurements counter=5.63748034299617223194E-07,gate=958.08 60677.85733
measurements counter=5.63814949998516342875E-07,gate=954.27 60677.85734
